City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Albany,28,US,1615988895,58,42.6001,-73.9662,34.0,2.48
Pevek,100,RU,1615988613,98,69.7008,170.3133,-20.97,4.32
Mumford,82,GH,1615988830,72,5.2618,-0.759,84.47,16.6
Guaraniaçu,40,BR,1615988896,73,-25.1008,-52.8781,69.8,9.22
Saint George,1,US,1615988718,93,37.1041,-113.5841,37.0,1.01
Kapaa,90,US,1615988642,78,22.0752,-159.319,70.0,17.27
Port Alfred,65,ZA,1615988673,80,-33.5906,26.891,73.92,14.45
Beringovskiy,0,RU,1615988667,84,63.05,179.3167,-11.43,7.81
Tuatapere,4,NZ,1615988683,83,-46.1333,167.6833,46.0,1.99
Ninh Binh,50,VN,1615988702,88,20.2539,105.975,72.72,4.12
Vaini,40,TO,1615988898,100,-21.2,-175.2,73.4,3.44
Bredasdorp,63,ZA,1615988615,53,-34.5322,20.0403,77.0,16.11
Narsaq,75,GL,1615988899,80,60.9167,-46.05,33.8,5.75
Beihai,0,CN,1615988854,83,21.4833,109.1,73.56,2.26
Klaksvík,75,FO,1615988661,100,62.2266,-6.589,46.4,10.36
Aksu,54,CN,1615988900,28,41.1231,80.2644,52.09,6.87
São Filipe,0,CV,1615988616,74,14.8961,-24.4956,72.45,6.8
Chicama,40,PE,1615988900,83,-7.8447,-79.1469,71.6,8.05
Nizwá,75,OM,1615988900,15,22.9333,57.5333,89.64,8.08
Bianzhuang,100,CN,1615988900,51,34.8486,118.0447,41.86,7.27
Butaritari,88,KI,1615988636,79,3.0707,172.7902,79.95,13.22
Tura,0,IN,1615988677,22,25.5198,90.2201,71.64,2.04
Qaanaaq,100,GL,1615988684,96,77.484,-69.3632,-6.11,1.25
Severo-Kuril'sk,100,RU,1615988901,97,50.6789,156.125,32.65,27.58
Dikson,88,RU,1615988901,99,73.5069,80.5464,-23.87,9.73
Castro,51,BR,1615988650,68,-24.7911,-50.0119,77.43,6.64
Port Hardy,90,CA,1615988902,80,50.6996,-127.4199,42.8,8.05
Oskemen,79,KZ,1615988902,84,49.9565,82.6119,-2.2,4.47
